Gene_ID,Shortened_Name
SMEL5_06g012380.1,SmelKNOLLEv5
SMEL5_03g011920.1,SmelCYCD1v5
SMEL5_01g018350.1,SmelGRFv5_01.350
SMEL5_01g032490.1,SmelGRFv5_01.490
SMEL5_02g022910.1,SmelGRFv5_02.910
SMEL5_03g017980.1,SmelGRFv5_03.980
SMEL5_04g017740.1,SmelGRFv5_04
SMEL5_05g020640.1,SmelGRFv5_05
SMEL5_07g009460.1,SmelGRFv5_07
SMEL5_08g016630.1,SmelGRFv5_08.630
SMEL5_08g024920.1,SmelGRFv5_08.920
SMEL5_08g002320.1,SmelGRFv5_08.320
SMEL5_09g001290.1,SmelGRFv5_09.290
SMEL5_10g022610.1,SmelGRFv5_10.610
SMEL5_10g016800.1,SmelGRFv5_10.900
SMEL5_11g029340.1,SmelGIFv5_11.340
SMEL5_11g007720.1,SmelGIFv5_11.720
SMEL5_03g017940.1,SmelGIFv5_03
